airport_code_std,airport_name_std,n_years_observed,first_year,last_year,missing_years_count
ABE,Lehigh Valley International,25,2000,2024,0
ABI,Abilene Regional,25,2000,2024,0
ABQ,Albuquerque International Sunport,25,2000,2024,0
ABR,Aberdeen Regional,25,2000,2024,0
ABY,Southwest Georgia Regional,25,2000,2024,0
ACK,Nantucket Memorial,25,2000,2024,0
ACT,Waco Regional,25,2000,2024,0
ACV,Arcata,25,2000,2024,0
ACY,Atlantic City International,25,2000,2024,0
ADQ,Kodiak,25,2000,2024,0
AEX,Alexandria International,25,2000,2024,0
AGS,Augusta Regional at Bush Field,25,2000,2024,0
AKN,King Salmon,25,2000,2024,0
ALB,Albany International,25,2000,2024,0
ALO,Waterloo Regional,25,2000,2024,0
ALS,San Luis Valley Regional/Bergman Field,25,2000,2024,0
ALW,Walla Walla Regional,25,2000,2024,0
AMA,Rick Husband Amarillo International,25,2000,2024,0
ANC,Ted Stevens Anchorage International,25,2000,2024,0
ANI,Aniak,25,2000,2024,0
APN,Alpena County Regional,25,2000,2024,0
ASE,Aspen-Pitkin County/Sardy Field,25,2000,2024,0
ATL,Hartsfield - Jackson Atlanta International,25,2000,2024,0
ATW,Outagamie County Regional,25,2000,2024,0
AUS,Austin-Bergstrom International,25,2000,2024,0
AVL,Asheville Regional,25,2000,2024,0
AZO,Kalamazoo/Battle Creek International,25,2000,2024,0
BDL,Bradley International,25,2000,2024,0
BET,Bethel,25,2000,2024,0
BFF,Western Nebraska Regional/William B Heilig Field,25,2000,2024,0
BFI,Boeing Field/King County International,25,2000,2024,0
BFL,Meadows Field,25,2000,2024,0
BGM,Greater Binghamton/Edwin A Link Field,25,2000,2024,0
BGR,Bangor International,25,2000,2024,0
BHB,Hancock County-Bar Harbor,25,2000,2024,0
BHM,Birmingham-Shuttlesworth International,25,2000,2024,0
BIL,Billings Logan International,25,2000,2024,0
BIS,Bismarck Municipal,25,2000,2024,0
BLI,Bellingham International,25,2000,2024,0
BMI,Central IL Regional Airport at Bloomington-Normal,25,2000,2024,0
BNA,Nashville International,25,2000,2024,0
BPT,Jack Brooks Regional,25,2000,2024,0
BQK,Brunswick Golden Isles,25,2000,2024,0
BQN,Rafael Hernandez,25,2000,2024,0
BRD,Brainerd Lakes Regional,25,2000,2024,0
BRO,Brownsville/South Padre Island International,25,2000,2024,0
BRW,Wiley Post-Will Rogers Memorial,25,2000,2024,0
